question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Assertion (A): A body thrown vertically upward has zero velocity at the highest point.
Reason (R): Gravity continues to act even at the highest point.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","B","physics","Motion in a Straight Line","medium","The velocity becomes zero at the highest point, but gravity acting is not the reason for velocity being zero at that instant."
"How many of the following statements are correct?

1. Acceleration due to gravity acts downward.
2. The value of g is approximately 9.8 m s⁻² near Earth's surface.
3. During free fall, acceleration remains constant neglecting air resistance.
4. A freely falling body has zero acceleration at the highest point.

Choose the correct option.","1","2","3","4","C","physics","Motion in a Straight Line","hard","Statements 1, 2 and 3 are correct. Even at the highest point acceleration remains equal to g downward."
"Match the following:

List I
A. Object thrown upward
B. Object in free fall
C. Highest point of vertical motion
D. Body moving with constant velocity

List II
1. Zero acceleration
2. Acceleration = g downward
3. Velocity = 0 but acceleration = g downward
4. Acceleration = g downward

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-3, B-2, C-4, D-1","A-4, B-3, C-2, D-1","A","physics","Motion in a Straight Line","hard","Gravity acts downward throughout the motion except for constant velocity motion."
"A ball is thrown vertically upward with speed 20 m s⁻¹. Taking g = 10 m s⁻², the time to reach maximum height is:","1 s","2 s","3 s","4 s","B","physics","Motion in a Straight Line","easy","Using v = u - gt, 0 = 20 - 10t, giving t = 2 s."
"A body falls freely from rest for 4 s. Taking g = 10 m s⁻², the velocity acquired is:","20 m s⁻¹","30 m s⁻¹","40 m s⁻¹","50 m s⁻¹","C","physics","Motion in a Straight Line","easy","v = u + gt = 0 + 10×4 = 40 m s⁻¹."
"Assertion (A): Relative velocity can be positive, negative or zero.
Reason (R): Relative velocity depends on the chosen frame of reference.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","medium","Relative velocity changes depending on the observer's frame."
"Two cars move in the same direction with speeds 60 km h⁻¹ and 40 km h⁻¹ respectively. The relative speed is:","20 km h⁻¹","40 km h⁻¹","60 km h⁻¹","100 km h⁻¹","A","physics","Motion in a Straight Line","easy","Relative speed in same direction equals difference in speeds."
"How many of the following statements are correct?

1. Relative speed in opposite directions equals the sum of speeds.
2. Relative speed in the same direction equals the difference of speeds.
3. Relative velocity depends on frame of reference.
4. Relative velocity can be zero even if both objects are moving.

Choose the correct option.","1","2","3","4","D","physics","Motion in a Straight Line","medium","All four statements are correct."
"A particle starts from rest and moves with constant acceleration of 5 m s⁻². The distance covered in the fifth second is:","12.5 m","22.5 m","32.5 m","42.5 m","B","physics","Motion in a Straight Line","hard","Distance in nth second = u + (a/2)(2n−1). Therefore s₅ = 0 + (5/2)(9) = 22.5 m."

"Statement I: The slope of a position-time graph gives velocity.
Statement II: A steeper slope indicates a greater magnitude of velocity.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Motion in a Straight Line","easy","Velocity is the rate of change of position with time."
"Assertion (A): A horizontal line in a position-time graph represents a body at rest.
Reason (R): Position remains constant with time for a body at rest.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","easy","Constant position means zero velocity."
"How many of the following statements are correct?

1. Slope of a velocity-time graph gives acceleration.
2. Area under a velocity-time graph gives displacement.
3. Area under an acceleration-time graph gives change in velocity.
4. A horizontal velocity-time graph represents constant velocity.

Choose the correct option.","1","2","3","4","D","physics","Motion in a Straight Line","medium","All four are fundamental graph relationships."
"Match the following:

List I
A. Horizontal x-t graph
B. Straight-line x-t graph with positive slope
C. Horizontal v-t graph
D. Horizontal a-t graph

List II
1. Constant acceleration
2. Constant velocity
3. Body at rest
4. Uniform motion

Choose the correct option.","A-3, B-4, C-2, D-1","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-4, B-3, C-2, D-1","A","physics","Motion in a Straight Line","medium","Graph interpretation is heavily tested in NEET."
"Which of the following is represented by the area under an acceleration-time graph?","Displacement","Velocity","Change in velocity","Momentum","C","physics","Motion in a Straight Line","easy","∫a dt gives change in velocity."
"A particle has constant negative acceleration and positive velocity. The particle is:","Speeding up in positive direction","Slowing down in positive direction","At rest","Moving with constant speed","B","physics","Motion in a Straight Line","medium","Acceleration opposite to velocity reduces speed."
"Assertion (A): A body may have zero velocity and non-zero acceleration simultaneously.
Reason (R): At the highest point of vertical upward motion velocity becomes zero while acceleration remains g downward.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","medium","This is one of the most frequently asked conceptual questions in NEET."
"A velocity-time graph is a straight line with positive slope. This indicates:","Constant velocity","Constant acceleration","Increasing acceleration","Decreasing acceleration","B","physics","Motion in a Straight Line","easy","A straight line in a v-t graph corresponds to constant acceleration."
"How many of the following statements are correct?

1. A body can have positive velocity and negative acceleration.
2. A body can have negative velocity and positive acceleration.
3. Positive acceleration always increases speed.
4. Negative acceleration always decreases speed.

Choose the correct option.","1","2","3","4","B","physics","Motion in a Straight Line","hard","Statements 1 and 2 are correct. Whether speed increases or decreases depends on the relative signs of velocity and acceleration."
"A particle moves according to x = 4t² + 2t + 1. Its initial velocity is:","0 m s⁻¹","2 m s⁻¹","4 m s⁻¹","8 m s⁻¹","B","physics","Motion in a Straight Line","hard","Velocity v = dx/dt = 8t + 2. At t = 0, v = 2 m s⁻¹."

"Statement I: Two bodies moving with the same velocity in the same direction have zero relative velocity.
Statement II: Relative velocity depends on the frame of reference.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Motion in a Straight Line","easy","If velocities are equal, their difference is zero."
"Assertion (A): Two particles moving towards each other with speeds u and v approach each other with relative speed u+v.
Reason (R): Relative velocity in opposite directions equals the sum of magnitudes.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","easy","For opposite directions, relative speed is the sum of speeds."
"How many of the following statements are correct?

1. Average speed is always greater than or equal to the magnitude of average velocity.
2. Instantaneous speed equals magnitude of instantaneous velocity.
3. A body can have zero velocity and non-zero acceleration.
4. A body can have non-zero velocity and zero acceleration.

Choose the correct option.","1","2","3","4","D","physics","Motion in a Straight Line","medium","All four statements are correct."
"Two cars are 300 m apart and move towards each other with speeds 20 m/s and 10 m/s. The time after which they meet is:","5 s","10 s","15 s","20 s","B","physics","Motion in a Straight Line","medium","Relative speed = 20 + 10 = 30 m/s, so time = 300/30 = 10 s."
"Which of the following quantities can become zero during motion under gravity?","Acceleration","Displacement","Velocity","Acceleration due to gravity","C","physics","Motion in a Straight Line","medium","Velocity becomes zero at the highest point of vertical motion."
"Assertion (A): The area under an acceleration-time graph gives change in velocity.
Reason (R): Velocity is the integral of acceleration with respect to time.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Straight Line","medium","Integration of acceleration over time gives change in velocity."
"Two trains move in the same direction with speeds 72 km/h and 54 km/h. The relative speed is:","18 km/h","36 km/h","54 km/h","126 km/h","A","physics","Motion in a Straight Line","easy","Relative speed = 72 − 54 = 18 km/h."
"A particle starts from rest with acceleration 2 m/s². The distance covered in the 10th second is:","17 m","18 m","19 m","20 m","C","physics","Motion in a Straight Line","hard","Distance in nth second = u + (a/2)(2n−1) = 0 + 1×19 = 19 m."
"A particle moving with velocity 20 m/s is uniformly retarded at 5 m/s². Time taken to stop is:","2 s","3 s","4 s","5 s","C","physics","Motion in a Straight Line","medium","Using v = u + at: 0 = 20 − 5t, therefore t = 4 s."
"A particle moves 10 m east and then 10 m west. Which statement is correct?","Distance = 0, displacement = 20 m","Distance = 20 m, displacement = 0","Distance = 10 m, displacement = 10 m","Distance = 20 m, displacement = 20 m","B","physics","Motion in a Straight Line","easy","Distance is total path length while displacement depends only on initial and final positions."
