question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Which of the following correctly represents Newton's Third Law?","For every action there is an equal and opposite reaction acting on the same body.","For every action there is an equal and opposite reaction acting on a different body.","Action force is always greater than reaction force.","Reaction occurs after action.","B","physics","Laws of Motion","easy","Action and reaction forces act on different bodies simultaneously."

"Statement I: Weight of a body acts vertically downward toward the center of Earth.
Statement II: Weight is equal to mg near Earth's surface.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","easy","Weight is the gravitational force acting on a body and is given by W = mg."
"Assertion (A): The normal reaction force is always perpendicular to the contact surface.
Reason (R): Normal reaction arises due to contact between surfaces.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","easy","Normal force is the component of contact force perpendicular to the surface."
"How many of the following statements are correct?

1. Tension in an ideal light string is the same throughout.
2. Tension always acts away from the body.
3. Weight acts through the center of mass.
4. Normal reaction and weight form an action-reaction pair.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 3 are correct. Weight and normal reaction act on the same body and are not an action-reaction pair."
"Match the following:

List I
A. Weight
B. Normal reaction
C. Tension
D. Applied force

List II
1. Force exerted by a string
2. Force due to gravity
3. External push or pull
4. Contact force perpendicular to surface

Choose the correct option.","A-2, B-4, C-1, D-3","A-4, B-2, C-1, D-3","A-2, B-1, C-4, D-3","A-3, B-4, C-2, D-1","A","physics","Laws of Motion","easy","These are standard force definitions used in free body diagrams."
"A block of mass 5 kg rests on a horizontal table. Taking g = 10 m/s², the normal reaction is:","25 N","50 N","75 N","100 N","B","physics","Laws of Motion","easy","On a horizontal surface without vertical acceleration, N = mg = 50 N."
"Statement I: Free body diagrams include only forces acting on the chosen body.
Statement II: Forces exerted by the chosen body on other bodies are not included in its FBD.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","medium","An FBD contains only external forces acting on the selected object."
"Assertion (A): A body moving upward in an elevator with constant velocity has apparent weight equal to true weight.
Reason (R): Acceleration of the elevator is zero in this case.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","medium","Constant velocity implies zero acceleration, therefore apparent weight equals actual weight."
"A body of mass 4 kg is pulled horizontally by a force of 20 N on a frictionless surface. Its acceleration is:","2 m/s²","4 m/s²","5 m/s²","10 m/s²","C","physics","Laws of Motion","easy","Using F = ma, acceleration = 20/4 = 5 m/s²."
"How many of the following statements are correct?

1. Tension and weight can act simultaneously on the same body.
2. A body may experience multiple normal reactions simultaneously.
3. Net force zero implies acceleration zero.
4. Zero acceleration always implies zero velocity.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 3 are correct. A body can move with constant non-zero velocity even if acceleration is zero."
"A block is pulled by two horizontal forces of 20 N rightward and 8 N leftward. If its mass is 3 kg, the acceleration is:","2 m/s²","3 m/s²","4 m/s²","6 m/s²","C","physics","Laws of Motion","medium","Net force = 20 − 8 = 12 N. Therefore a = 12/3 = 4 m/s²."

"Statement I: Friction opposes relative motion or tendency of relative motion between surfaces.
Statement II: Friction acts parallel to the contact surface.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","easy","Friction always acts tangentially to the contact surface and opposes relative motion."
"Assertion (A): Static friction is self-adjusting.
Reason (R): Static friction adjusts its magnitude to oppose the applied force up to a maximum value.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","medium","Static friction varies from zero to its limiting value depending on the applied force."
"How many of the following statements are correct?

1. Limiting friction is the maximum static friction.
2. Kinetic friction is generally less than limiting friction.
3. Coefficient of friction is dimensionless.
4. Friction depends on the nature of surfaces in contact.

Choose the correct option.","1","2","3","4","D","physics","Laws of Motion","medium","All four statements are correct."
"Match the following:

List I
A. Static friction
B. Kinetic friction
C. Limiting friction
D. Coefficient of friction

List II
1. Ratio of frictional force to normal reaction
2. Friction during sliding
3. Maximum value of static friction
4. Friction before sliding begins

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-4, B-3, C-2, D-1","A-1, B-2, C-4, D-3","A","physics","Laws of Motion","easy","These definitions are fundamental for friction problems."
"A block of mass 5 kg rests on a rough horizontal surface with μ = 0.4. Taking g = 10 m/s², the limiting friction is:","10 N","15 N","20 N","25 N","C","physics","Laws of Motion","medium","f_max = μN = 0.4 × 50 = 20 N."
"Statement I: Friction is a necessary evil.
Statement II: Friction causes wear and tear but also enables walking and vehicle motion.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","easy","Friction has both useful and undesirable effects."
"Assertion (A): Rolling friction is smaller than sliding friction.
Reason (R): Rolling reduces deformation and energy loss at the contact surface.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","medium","This is why wheels are preferred for transportation."
"A body of mass 10 kg is pulled with a horizontal force of 30 N on a rough surface where μ = 0.2 and g = 10 m/s². The acceleration is:","0 m/s²","1 m/s²","2 m/s²","3 m/s²","B","physics","Laws of Motion","hard","Friction = μN = 0.2×100 = 20 N. Net force = 30−20 = 10 N, therefore a = 10/10 = 1 m/s²."
"How many of the following statements are correct?

1. Static friction can exist even when there is no motion.
2. Kinetic friction acts only when surfaces slide relative to each other.
3. Friction can act in the direction of motion in some cases.
4. Friction always opposes motion of the object.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 3 are correct. Friction opposes relative motion between surfaces, not necessarily the motion of the object."
"A block remains at rest when a force of 15 N is applied but starts moving when the force becomes 18 N. The limiting friction is closest to:","12 N","15 N","18 N","20 N","C","physics","Laws of Motion","medium","Limiting friction is the maximum static friction just before motion begins, approximately 18 N."

"Statement I: For a block on a smooth inclined plane, the component of weight along the incline is mg sinθ.
Statement II: The normal reaction on the block is mg cosθ.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","physics","Laws of Motion","medium","Both are correct but independent results of resolving weight."
"Assertion (A): A block on a smooth incline accelerates downward with acceleration g sinθ.
Reason (R): The component of gravity parallel to the incline is unbalanced.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","medium","The component mg sinθ causes motion along the plane."
"How many of the following statements are correct?

1. In an ideal string, tension is the same throughout.
2. In an ideal pulley, mass and friction are neglected.
3. Tension acts along the string.
4. A pulley changes the direction of force transmission.

Choose the correct option.","1","2","3","4","D","physics","Laws of Motion","easy","All four statements are correct."
"Match the following:

List I
A. Component of weight parallel to incline
B. Component of weight perpendicular to incline
C. Normal reaction on smooth incline
D. Acceleration on smooth incline

List II
1. g sinθ
2. mg cosθ
3. mg sinθ
4. mg cosθ

Choose the correct option.","A-3, B-4, C-2, D-1","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-4, B-3, C-2, D-1","A","physics","Laws of Motion","medium","The parallel component is mg sinθ and perpendicular component is mg cosθ."
"A 5 kg block rests on a smooth 30° incline. Taking g = 10 m/s², its acceleration down the plane is:","2.5 m/s²","5 m/s²","7.5 m/s²","10 m/s²","B","physics","Laws of Motion","easy","a = g sin30° = 10 × 0.5 = 5 m/s²."
"Statement I: In an Atwood machine, the heavier mass moves downward.
Statement II: The lighter mass moves upward with the same magnitude of acceleration.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","physics","Laws of Motion","medium","The two masses have equal acceleration due to the inextensible string."
"Assertion (A): Two blocks connected by a light string have the same magnitude of acceleration.
Reason (R): The string is assumed to be inextensible.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","medium","An inextensible string constrains both bodies to move together."
"A 4 kg and 6 kg block are connected over a smooth pulley. Taking g = 10 m/s², the acceleration of the system is:","1 m/s²","2 m/s²","3 m/s²","4 m/s²","B","physics","Laws of Motion","hard","a = (m₂−m₁)g/(m₁+m₂) = (6−4)×10/10 = 2 m/s²."
"How many of the following statements are correct?

1. Tension can exceed the weight of a body.
2. Tension can be less than the weight of a body.
3. Tension may be zero in a slack string.
4. Tension always equals weight.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 3 are correct. Tension equals weight only in special cases."
"A block of mass 3 kg is pulled horizontally by a tension of 15 N on a frictionless surface. The acceleration produced is:","3 m/s²","4 m/s²","5 m/s²","6 m/s²","C","physics","Laws of Motion","easy","Using F = ma, acceleration = 15/3 = 5 m/s²."

"Statement I: Apparent weight of a person in an elevator accelerating upward is greater than the true weight.
Statement II: The normal reaction becomes N = m(g + a).
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","medium","Upward acceleration increases the normal reaction and therefore apparent weight."
"Assertion (A): A person feels lighter in an elevator accelerating downward.
Reason (R): The normal reaction becomes smaller than mg.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","medium","For downward acceleration, N = m(g − a)."
"How many of the following statements are correct?

1. Apparent weight becomes zero during free fall.
2. A person in free fall experiences weightlessness.
3. Weightlessness means gravitational force becomes zero.
4. Weightlessness occurs because normal reaction becomes zero.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 4 are correct. Gravity still acts during free fall."
"Match the following:

List I
A. Elevator accelerating upward
B. Elevator accelerating downward
C. Free fall
D. Constant velocity elevator

List II
1. N = mg
2. N = 0
3. N = m(g+a)
4. N = m(g−a)

Choose the correct option.","A-3, B-4, C-2, D-1","A-4, B-3, C-2, D-1","A-3, B-2, C-4, D-1","A-1, B-4, C-2, D-3","A","physics","Laws of Motion","easy","These are the standard apparent weight relations."
"A 60 kg person stands in an elevator accelerating upward at 2 m/s². Taking g = 10 m/s², the apparent weight is:","480 N","600 N","720 N","840 N","C","physics","Laws of Motion","medium","N = m(g+a) = 60 × 12 = 720 N."
"Statement I: Pseudo force appears only in non-inertial frames.
Statement II: Pseudo force acts opposite to the acceleration of the frame.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","hard","Pseudo force is introduced to apply Newton's laws in accelerating frames."
"Assertion (A): Passengers tend to fall backward when a bus suddenly starts moving.
Reason (R): Due to inertia of rest, the upper body tends to remain at rest.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","easy","The feet move with the bus while the upper body tends to remain at rest."
"A person of mass 50 kg stands in an elevator accelerating downward at 2 m/s². Taking g = 10 m/s², the apparent weight is:","300 N","400 N","500 N","600 N","B","physics","Laws of Motion","medium","N = m(g−a) = 50 × 8 = 400 N."
"How many of the following statements are correct?

1. Pseudo force is proportional to mass.
2. Pseudo force acts opposite to frame acceleration.
3. Pseudo force is a real interaction force.
4. Pseudo force exists only in accelerating frames.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 4 are correct. Pseudo force is a fictitious force."
"A body moves in a circle of radius 5 m with speed 10 m/s. The centripetal acceleration is:","5 m/s²","10 m/s²","20 m/s²","25 m/s²","C","physics","Laws of Motion","medium","a = v²/r = 100/5 = 20 m/s²."

"Statement I: Static friction can act in the same direction as the motion of the object.
Statement II: Friction always opposes the relative motion or tendency of relative motion between surfaces.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","hard","For example, friction on the driving wheels of a moving car acts forward."
"Assertion (A): A block placed on another accelerating block may move along with it without slipping.
Reason (R): Static friction can provide the necessary acceleration to the upper block.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","hard","Static friction accelerates the upper block without relative motion."
"How many of the following statements are correct?

1. Pseudo force equals ma₀ where a₀ is frame acceleration.
2. Pseudo force acts opposite to frame acceleration.
3. Pseudo force acts only in non-inertial frames.
4. Pseudo force is a real interaction force.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 3 are correct. Pseudo force is fictitious."
"Match the following:

List I
A. Car taking a turn
B. Bus suddenly starts
C. Bus suddenly stops
D. Lift in free fall

List II
1. Passengers fall backward
2. Weightlessness
3. Passengers fall forward
4. Requires centripetal force

Choose the correct option.","A-4, B-1, C-3, D-2","A-1, B-4, C-3, D-2","A-4, B-3, C-1, D-2","A-2, B-1, C-4, D-3","A","physics","Laws of Motion","medium","These are classic inertia and circular motion situations."
"A 10 kg block rests on a horizontal surface with coefficient of friction 0.3. Taking g = 10 m/s², the minimum horizontal force required to start motion is:","10 N","20 N","30 N","40 N","C","physics","Laws of Motion","medium","Limiting friction = μN = 0.3 × 100 = 30 N."
"Statement I: Banking of roads reduces dependence on friction while turning.
Statement II: The horizontal component of normal reaction provides centripetal force on a banked road.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Laws of Motion","hard","Banking allows centripetal force to arise from normal reaction."
"Assertion (A): A body can remain at rest in an accelerating frame if pseudo force balances real forces.
Reason (R): Newton's laws can then be applied in the non-inertial frame.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Laws of Motion","hard","Pseudo force restores Newtonian analysis in accelerating frames."
"A 2 kg block rests on top of a 10 kg block. The lower block is pulled with force 24 N on a frictionless surface. If there is no slipping, the acceleration of the system is:","1 m/s²","2 m/s²","3 m/s²","4 m/s²","B","physics","Laws of Motion","hard","Treating both blocks as one system: a = F/(m₁+m₂) = 24/12 = 2 m/s²."
"How many of the following statements are correct?

1. Friction may increase or decrease acceleration.
2. Friction can provide centripetal force.
3. Friction can act in the direction of motion.
4. Friction always converts mechanical energy into heat.

Choose the correct option.","1","2","3","4","C","physics","Laws of Motion","hard","Statements 1, 2 and 3 are correct. Static friction may do no work and need not convert energy to heat."
"A 4 kg block and 6 kg block are connected over a smooth pulley. Taking g = 10 m/s², the tension in the string is:","24 N","36 N","48 N","60 N","C","physics","Laws of Motion","hard","Acceleration a = (6−4)×10/10 = 2 m/s². Tension T = m₁(g+a) for lighter block moving upward? Using lighter block: T − 40 = 4×2 → T = 48 N."
