question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Which of the following pairs represents isotones?","¹⁴C and ¹⁴N","²³Na and ²⁴Mg","³⁹K and ⁴⁰Ca","¹²C and ¹³C","B","chemistry","Structure of Atom","hard","²³Na has 12 neutrons (23−11) and ²⁴Mg has 12 neutrons (24−12), making them isotones."




"Statement I: Electromagnetic radiation does not require a material medium for propagation.
Statement II: Electromagnetic radiation consists of oscillating electric and magnetic fields perpendicular to each other.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","chemistry","Structure of Atom","easy","Electromagnetic waves consist of mutually perpendicular electric and magnetic fields and can travel through vacuum."
"Assertion (A): The energy of electromagnetic radiation increases with frequency.
Reason (R): According to Planck's theory, E = hν.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","easy","Planck's equation directly shows that energy is proportional to frequency."
"How many of the following statements are correct?

1. X-rays have shorter wavelengths than ultraviolet rays.
2. Infrared radiation has longer wavelengths than visible light.
3. Radio waves possess the highest frequency in the electromagnetic spectrum.
4. Gamma rays possess the highest energy.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","medium","Statements 1, 2 and 4 are correct. Radio waves have the lowest frequency."
"Match the following:

List I
A. Gamma rays
B. Visible light
C. Microwaves
D. Infrared radiation

List II
1. Heating effect
2. Cooking applications
3. Highest frequency
4. Wavelength range approximately 400–700 nm

Choose the correct option.","A-3, B-4, C-2, D-1","A-4, B-3, C-2, D-1","A-3, B-2, C-4, D-1","A-1, B-4, C-2, D-3","A","chemistry","Structure of Atom","medium","These are standard applications and properties of different electromagnetic radiations."
"The wavelength of radiation having frequency 6 × 10^14 s⁻¹ is: (c = 3 × 10^8 m s⁻¹)","500 nm","600 nm","700 nm","800 nm","A","chemistry","Structure of Atom","medium","λ = c/ν = (3×10^8)/(6×10^14) = 5×10^-7 m = 500 nm."
"Statement I: According to Planck's theory, energy is emitted or absorbed discontinuously.
Statement II: These packets of energy are called quanta.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Structure of Atom","easy","Planck introduced the concept of quantized energy packets called quanta."
"Assertion (A): The photoelectric effect supports the particle nature of light.
Reason (R): Electrons are emitted only when light of sufficient frequency falls on a metal surface.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","medium","The existence of threshold frequency supports the photon theory of light."
"Energy of a photon of frequency 5 × 10^14 s⁻¹ is: (h = 6.626 × 10^-34 J s)","3.31 × 10^-19 J","6.63 × 10^-19 J","1.33 × 10^-19 J","9.94 × 10^-19 J","A","chemistry","Structure of Atom","hard","E = hν = (6.626×10^-34)(5×10^14) = 3.313×10^-19 J."
"How many of the following statements are correct?

1. Emission spectrum consists of bright lines on a dark background.
2. Absorption spectrum consists of dark lines on a bright background.
3. Hydrogen gives a continuous spectrum.
4. Line spectra are characteristic of elements.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","hard","Statements 1, 2 and 4 are correct. Hydrogen produces a line spectrum."
"Which among the following radiations possesses the highest penetrating power?","Ultraviolet rays","Infrared rays","Gamma rays","Visible light","C","chemistry","Structure of Atom","easy","Gamma rays possess the highest energy and penetrating power among electromagnetic radiations."





"Statement I: According to Bohr's model, electrons revolve around the nucleus only in certain permitted circular orbits.
Statement II: Electrons moving in these stationary orbits do not radiate energy.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Structure of Atom","easy","Bohr proposed stationary orbits to explain atomic stability."
"Assertion (A): The angular momentum of an electron in a permitted orbit is quantized.
Reason (R): The angular momentum is given by mvr = nh/2π.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","medium","Bohr quantized angular momentum as integral multiples of h/2π."
"How many of the following statements are correct?

1. Radius of the first Bohr orbit is maximum.
2. Energy of the electron increases with principal quantum number.
3. Radius of orbit is proportional to n².
4. Velocity of electron decreases with increasing n.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","hard","Statements 2, 3 and 4 are correct. The first orbit has minimum radius."
"Match the following:

List I
A. Lyman series
B. Balmer series
C. Paschen series
D. Brackett series

List II
1. n₁ = 4
2. n₁ = 1
3. n₁ = 2
4. n₁ = 3

Choose the correct option.","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-2, B-4, C-3, D-1","A-1, B-3, C-4, D-2","A","chemistry","Structure of Atom","medium","These series correspond to transitions terminating at fixed lower energy levels."
"The radius of the third Bohr orbit of hydrogen is: (a₀ = 0.529 Å)","0.529 Å","1.058 Å","4.761 Å","9.000 Å","C","chemistry","Structure of Atom","medium","rₙ = n²a₀ = 3² × 0.529 = 4.761 Å."
"Statement I: The energy of an electron in hydrogen atom is always negative.
Statement II: Zero energy corresponds to an electron completely removed from the atom.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Structure of Atom","medium","Negative energy indicates that the electron is bound to the nucleus."
"Assertion (A): The ionization enthalpy of hydrogen atom in the ground state is 1312 kJ mol⁻¹.
Reason (R): The energy of the ground state electron in hydrogen atom is -13.6 eV.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","hard","13.6 eV per atom corresponds to approximately 1312 kJ mol⁻¹."
"The energy of electron in the n = 2 orbit of hydrogen atom is:","-13.6 eV","-6.8 eV","-3.4 eV","-1.51 eV","C","chemistry","Structure of Atom","medium","Eₙ = -13.6/n² = -13.6/4 = -3.4 eV."
"How many of the following statements are correct?

1. Lyman series lies in the ultraviolet region.
2. Balmer series lies in the visible region.
3. Paschen series lies in the infrared region.
4. Brackett series lies in the ultraviolet region.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","hard","Statements 1, 2 and 3 are correct. Brackett series lies in the infrared region."
"An electron jumps from n = 3 to n = 2 in hydrogen atom. The emitted radiation belongs to:","Lyman series","Balmer series","Paschen series","Brackett series","B","chemistry","Structure of Atom","medium","Balmer series consists of transitions ending at n = 2."




"Statement I: According to de Broglie, every moving particle is associated with a wave.
Statement II: The wavelength associated with a particle is inversely proportional to its momentum.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Structure of Atom","easy","The de Broglie relation is λ = h/p = h/mv."
"Assertion (A): The de Broglie wavelength of an electron is much larger than that of a cricket ball moving with the same velocity.
Reason (R): The electron has much smaller mass than the cricket ball.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","medium","Since λ = h/mv, smaller mass leads to larger wavelength."
"How many of the following statements are correct?

1. Heisenberg uncertainty principle is significant mainly for microscopic particles.
2. Position and momentum cannot be simultaneously measured with absolute accuracy.
3. The uncertainty principle becomes negligible for macroscopic objects.
4. Δx·Δp ≥ h/4π.

Choose the correct option.","1","2","3","4","D","chemistry","Structure of Atom","hard","All four statements are correct. The uncertainty principle is universal but its effects are appreciable mainly for microscopic particles."
"Match the following:

List I
A. Principal quantum number (n)
B. Azimuthal quantum number (l)
C. Magnetic quantum number (mₗ)
D. Spin quantum number (mₛ)

List II
1. Orientation of orbital
2. Shape of orbital
3. Size and energy of orbital
4. Direction of electron spin

Choose the correct option.","A-3, B-2, C-1, D-4","A-2, B-3, C-1, D-4","A-3, B-1, C-2, D-4","A-4, B-2, C-1, D-3","A","chemistry","Structure of Atom","easy","Each quantum number describes a different property of the electron in an atom."
"The number of orbitals present in the n = 3 shell is:","3","5","9","18","C","chemistry","Structure of Atom","medium","Number of orbitals in a shell = n² = 3² = 9."
"Statement I: The s orbital is spherical in shape.
Statement II: The p orbitals are dumbbell-shaped.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","chemistry","Structure of Atom","easy","Both statements are independently correct descriptions of orbital shapes."
"Assertion (A): No two electrons in an atom can have the same set of four quantum numbers.
Reason (R): This is the statement of Pauli's exclusion principle.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","easy","Pauli's exclusion principle restricts electron arrangement in orbitals."
"How many electrons can be accommodated in the n = 4 shell?","16","18","32","36","C","chemistry","Structure of Atom","medium","Maximum number of electrons in a shell = 2n² = 2×4² = 32."
"How many of the following statements are correct?

1. The 2p subshell contains three orbitals.
2. The 3d subshell contains five orbitals.
3. The 4f subshell contains seven orbitals.
4. Each orbital can accommodate a maximum of two electrons.

Choose the correct option.","1","2","3","4","D","chemistry","Structure of Atom","medium","All four statements are correct."
"For an electron, the quantum numbers are:
n = 3, l = 2, mₗ = -1
The electron belongs to the:","3p orbital","3d orbital","2d orbital","4d orbital","B","chemistry","Structure of Atom","hard","l = 2 corresponds to d subshell and n = 3 indicates the 3d subshell."




"Statement I: According to the Aufbau principle, electrons occupy lower energy orbitals before higher energy orbitals.
Statement II: The order of filling is determined using the (n + l) rule.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Structure of Atom","easy","The Aufbau principle uses the (n+l) rule to determine orbital filling order."
"Assertion (A): Degenerate orbitals are occupied singly before pairing occurs.
Reason (R): This arrangement gives maximum multiplicity and greater stability.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","medium","This is Hund's rule of maximum multiplicity."
"How many of the following statements are correct?

1. The 4s orbital is filled before the 3d orbital.
2. The 3d orbital has higher energy than 4s in neutral atoms.
3. The 4p orbital is filled before the 4s orbital.
4. The 3d orbital can accommodate a maximum of 10 electrons.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","hard","Statements 1, 2 and 4 are correct. The 4s orbital fills before 4p."
"Match the following:

List I
A. s subshell
B. p subshell
C. d subshell
D. f subshell

List II
1. Maximum 14 electrons
2. Maximum 2 electrons
3. Maximum 6 electrons
4. Maximum 10 electrons

Choose the correct option.","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-2, B-4, C-3, D-1","A-1, B-3, C-4, D-2","A","chemistry","Structure of Atom","easy","The capacities are determined by the number of orbitals in each subshell."
"The number of unpaired electrons in nitrogen (Z = 7) is:","1","2","3","4","C","chemistry","Structure of Atom","medium","Electronic configuration: 1s² 2s² 2p³. According to Hund's rule, all three 2p electrons remain unpaired."
"Statement I: Chromium has the electronic configuration [Ar] 3d⁵4s¹.
Statement II: Half-filled subshells possess extra stability.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Structure of Atom","medium","The half-filled 3d⁵ configuration is more stable than 3d⁴4s²."
"Assertion (A): Copper has the electronic configuration [Ar] 3d¹⁰4s¹.
Reason (R): Completely filled subshells possess extra stability.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Structure of Atom","medium","The fully filled 3d¹⁰ configuration gives additional stability to copper."
"How many orbitals are occupied in the ground-state electronic configuration of oxygen (Z = 8)?","4","5","6","7","B","chemistry","Structure of Atom","hard","Oxygen: 1s² 2s² 2p⁴ occupies 1 (1s) + 1 (2s) + 3 (2p) = 5 orbitals."
"How many of the following statements are correct?

1. Pauli exclusion principle limits an orbital to two electrons.
2. Hund's rule applies to degenerate orbitals.
3. Aufbau principle predicts the order of orbital filling.
4. Chromium follows the expected Aufbau configuration exactly.

Choose the correct option.","1","2","3","4","C","chemistry","Structure of Atom","hard","Statements 1, 2 and 3 are correct. Chromium is a well-known exception."
"The number of unpaired electrons in Fe³⁺ (Z = 26) is:","3","4","5","6","C","chemistry","Structure of Atom","hard","Fe: [Ar] 3d⁶4s². Fe³⁺ loses two 4s electrons and one 3d electron to become [Ar] 3d⁵, which contains five unpaired electrons."
