question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Which of the following belongs to the d-block?","Calcium","Scandium","Aluminium","Sulfur","B","chemistry","Classification of Elements and Periodicity in Properties","easy","Scandium has electronic configuration [Ar] 3d¹4s² and belongs to the d-block."





"Statement I: Atomic radius generally decreases across a period.
Statement II: Effective nuclear charge increases across a period.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","Increasing effective nuclear charge pulls electrons closer to the nucleus, decreasing atomic size."
"Assertion (A): Atomic radius generally increases down a group.
Reason (R): The number of electron shells increases down the group.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","Addition of new shells outweighs the increase in nuclear charge."
"How many of the following statements are correct?

1. Cations are smaller than their parent atoms.
2. Anions are larger than their parent atoms.
3. In an isoelectronic series, radius decreases with increasing nuclear charge.
4. Na⁺ is larger than Mg²⁺.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","hard","All four statements are correct. Mg²⁺ has greater nuclear charge and hence smaller radius than Na⁺."
"Match the following:

List I
A. Atomic radius
B. Ionic radius
C. Ionization enthalpy
D. Electron gain enthalpy

List II
1. Energy released when an electron is added to a gaseous atom
2. Size of an ion in crystal lattice
3. Half the distance between nuclei of bonded atoms
4. Energy required to remove an electron from gaseous atom

Choose the correct option.","A-3, B-2, C-4, D-1","A-2, B-3, C-4, D-1","A-3, B-4, C-2, D-1","A-1, B-2, C-4, D-3","A","chemistry","Classification of Elements and Periodicity in Properties","medium","These are standard definitions from NCERT."
"Which of the following has the largest atomic radius?","Li","Na","K","Rb","D","chemistry","Classification of Elements and Periodicity in Properties","easy","Atomic radius increases down the alkali metal group."
"Statement I: First ionization enthalpy generally increases across a period.
Statement II: Effective nuclear charge increases across a period.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","Higher effective nuclear charge makes electron removal more difficult."
"Assertion (A): First ionization enthalpy of Be is greater than that of B.
Reason (R): Removal of an electron from the 2p orbital of B requires less energy than removal from the filled 2s orbital of Be.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","hard","The 2p electron in boron is higher in energy and easier to remove."
"Which element has the highest first ionization enthalpy in Period 2?","F","Ne","O","N","B","chemistry","Classification of Elements and Periodicity in Properties","medium","Noble gases possess the highest ionization enthalpies because of stable closed-shell configurations."
"How many of the following statements are correct?

1. Electron gain enthalpy generally becomes more negative across a period.
2. Electron gain enthalpy generally becomes less negative down a group.
3. Chlorine has a more negative electron gain enthalpy than fluorine.
4. Noble gases have positive electron gain enthalpy values.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","hard","All four statements are correct according to NCERT trends."
"Which of the following has the highest electronegativity?","Oxygen","Nitrogen","Fluorine","Chlorine","C","chemistry","Classification of Elements and Periodicity in Properties","easy","Fluorine is the most electronegative element in the periodic table."





"Statement I: Metallic character decreases across a period.
Statement II: Effective nuclear charge increases across a period.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","Increasing effective nuclear charge reduces the tendency to lose electrons."
"Assertion (A): Metallic character increases down a group.
Reason (R): Atomic size increases down a group, making electron loss easier.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","Larger atomic size lowers ionization enthalpy and increases metallic nature."
"How many of the following statements are correct?

1. Na₂O is strongly basic.
2. MgO is basic.
3. Al₂O₃ is amphoteric.
4. SiO₂ is acidic.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","hard","The nature of oxides changes from basic to acidic across a period."
"Match the following:

List I
A. Na₂O
B. Al₂O₃
C. SiO₂
D. Cl₂O₇

List II
1. Acidic oxide
2. Amphoteric oxide
3. Strongly acidic oxide
4. Basic oxide

Choose the correct option.","A-4, B-2, C-1, D-3","A-2, B-4, C-1, D-3","A-4, B-1, C-2, D-3","A-3, B-2, C-1, D-4","A","chemistry","Classification of Elements and Periodicity in Properties","medium","These oxides illustrate the change in oxide character across Period 3."
"Which of the following shows diagonal relationship with lithium?","Magnesium","Beryllium","Aluminium","Sodium","A","chemistry","Classification of Elements and Periodicity in Properties","medium","Lithium shows diagonal relationship with magnesium due to similar charge density."
"Statement I: Beryllium resembles aluminium more than magnesium in some properties.
Statement II: This phenomenon is called diagonal relationship.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","Beryllium and aluminium have similar charge/radius ratios leading to similar chemistry."
"Assertion (A): The highest oxidation state of p-block elements is often equal to the group number minus 10.
Reason (R): The valence shell configuration of p-block elements is ns²np¹–⁶.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","hard","The total number of valence electrons determines the highest oxidation state."
"Which of the following elements exhibits the maximum metallic character?","Li","Na","K","Rb","D","chemistry","Classification of Elements and Periodicity in Properties","easy","Metallic character increases down Group 1."
"How many of the following statements are correct?

1. Basic character of hydroxides increases down Group 1.
2. Acidic character of hydrides increases across a period.
3. NH₃ is more basic than H₂O.
4. HF is the strongest acid among hydrogen halides.

Choose the correct option.","1","2","3","4","C","chemistry","Classification of Elements and Periodicity in Properties","hard","Statements 1, 2 and 3 are correct. HI is the strongest hydrogen halide acid."
"Which of the following oxides is amphoteric?","Na₂O","MgO","Al₂O₃","SO₃","C","chemistry","Classification of Elements and Periodicity in Properties","easy","Al₂O₃ reacts with both acids and bases and is therefore amphoteric."




"Statement I: Elements belonging to the same group generally exhibit similar chemical properties.
Statement II: Elements of the same group possess similar valence shell electronic configurations.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","Chemical properties are largely governed by valence shell electronic configuration."
"Assertion (A): Alkali metals are highly reactive.
Reason (R): They possess low ionization enthalpy values and can lose electrons easily.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","The ease of losing the valence electron makes alkali metals highly reactive."
"How many of the following statements are correct?

1. Group 1 elements have valence shell configuration ns¹.
2. Group 2 elements have valence shell configuration ns².
3. Group 17 elements have valence shell configuration ns²np⁵.
4. Group 18 elements possess completely filled valence shells.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","easy","All four statements are correct."
"Match the following:

List I
A. Group 1
B. Group 2
C. Group 17
D. Group 18

List II
1. Noble gases
2. Alkaline earth metals
3. Alkali metals
4. Halogens

Choose the correct option.","A-3, B-2, C-4, D-1","A-2, B-3, C-4, D-1","A-3, B-4, C-2, D-1","A-1, B-2, C-4, D-3","A","chemistry","Classification of Elements and Periodicity in Properties","easy","These are the standard family names in the periodic table."
"Which of the following has the highest ionization enthalpy?","Na","Mg","Al","Si","D","chemistry","Classification of Elements and Periodicity in Properties","medium","Ionization enthalpy generally increases across a period. The exception Mg > Al does not affect Si being the highest among these four."
"Statement I: Noble gases generally have positive electron gain enthalpy values.
Statement II: Addition of an electron would require occupation of a higher energy shell.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","Closed-shell configurations resist electron addition."
"Assertion (A): Chlorine has a more negative electron gain enthalpy than fluorine.
Reason (R): The compact size of fluorine leads to greater electron-electron repulsion in the 2p subshell.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","hard","This is one of the most frequently tested exceptions in periodic trends."
"How many of the following statements are correct?

1. Helium belongs to the s-block.
2. Helium is placed in Group 18.
3. Helium has electronic configuration 1s².
4. Helium behaves chemically like noble gases.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","hard","Helium is an s-block element by configuration but is placed in Group 18 due to its chemical inertness."
"Which of the following elements belongs to the p-block?","Potassium","Scandium","Gallium","Calcium","C","chemistry","Classification of Elements and Periodicity in Properties","medium","Gallium has valence shell configuration 4s²4p¹ and belongs to the p-block."
"Which of the following pairs belongs to the same period?","Na and K","Mg and Al","Cl and Br","Li and Na","B","chemistry","Classification of Elements and Periodicity in Properties","easy","Mg and Al both belong to Period 3."




"Statement I: Effective nuclear charge increases from left to right across a period.
Statement II: Shielding effect remains nearly constant across a period.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","The nearly constant shielding and increasing nuclear charge together increase effective nuclear charge."
"Assertion (A): Nitrogen has higher first ionization enthalpy than oxygen.
Reason (R): Nitrogen possesses a stable half-filled 2p³ configuration.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","hard","Removal of an electron from oxygen relieves electron-electron repulsion in the paired orbital, making it easier than in nitrogen."
"How many of the following statements are correct?

1. Atomic radius decreases across a period.
2. Ionization enthalpy generally increases across a period.
3. Electron gain enthalpy generally becomes more negative across a period.
4. Metallic character decreases across a period.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","easy","These are the major periodic trends observed across a period."
"Match the following:

List I
A. Atomic radius
B. Ionization enthalpy
C. Electron gain enthalpy
D. Electronegativity

List II
1. Generally decreases down a group
2. Generally increases down a group
3. Generally becomes less negative down a group
4. Generally decreases down a group

Choose the correct option.","A-2, B-1, C-3, D-4","A-1, B-2, C-3, D-4","A-2, B-4, C-1, D-3","A-3, B-1, C-2, D-4","A","chemistry","Classification of Elements and Periodicity in Properties","hard","Atomic radius increases down a group while ionization enthalpy and electronegativity decrease. Electron gain enthalpy generally becomes less negative."
"Which of the following has the smallest atomic radius?","Li","Be","B","C","D","chemistry","Classification of Elements and Periodicity in Properties","easy","Atomic radius decreases across Period 2 due to increasing effective nuclear charge."
"Statement I: Cations are smaller than their corresponding atoms.
Statement II: Loss of electrons reduces electron-electron repulsion and may remove an entire shell.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","Reduced repulsion and sometimes loss of a shell make cations smaller."
"Assertion (A): Anions are larger than their parent atoms.
Reason (R): Addition of electrons increases electron-electron repulsion in the valence shell.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","Greater electron-electron repulsion causes expansion of the electron cloud."
"How many of the following statements are correct?

1. Na⁺ and Mg²⁺ are isoelectronic.
2. O²⁻ and F⁻ are isoelectronic.
3. Ne and Na⁺ are isoelectronic.
4. In an isoelectronic series, size decreases with increasing atomic number.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","hard","All four statements are correct."
"Which of the following species has the largest radius?","Mg²⁺","Na⁺","F⁻","O²⁻","D","chemistry","Classification of Elements and Periodicity in Properties","hard","All are isoelectronic with 10 electrons. Radius decreases with increasing nuclear charge: O²⁻ > F⁻ > Na⁺ > Mg²⁺."
"Which of the following arrangements is correct in increasing order of first ionization enthalpy?","B < Be < C < N","Be < B < C < N","B < C < Be < N","C < B < Be < N","A","chemistry","Classification of Elements and Periodicity in Properties","hard","Boron has lower ionization enthalpy than Be because the electron is removed from a higher-energy 2p orbital. Nitrogen has high ionization enthalpy due to half-filled stability."
