question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Statement I: Poriferans possess a water canal system.
Statement II: The water canal system helps in food gathering, respiratory exchange and removal of wastes.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","easy","The water canal system is a characteristic feature of sponges and performs multiple functions."
"Assertion (A): Cnidarians are also called Coelenterates.
Reason (R): They possess a central gastrovascular cavity with a single opening.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","medium","The presence of a coelenteron or gastrovascular cavity led to the name Coelenterata."
"How many of the following statements are correct?

1. Cnidoblasts are used for defence and capture of prey.
2. Cnidoblasts contain nematocysts.
3. Cnidoblasts are unique to cnidarians.
4. Cnidarians exhibit intracellular digestion only.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 3 are correct. Digestion in cnidarians is both extracellular and intracellular."
"Match the following:

List I
A. Sycon
B. Aurelia
C. Obelia
D. Physalia

List II
1. Portuguese man-of-war
2. Jellyfish
3. Hydrozoan colony
4. Sponge

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A","biology","Animal Kingdom","medium","These are standard NCERT examples from Porifera and Cnidaria."
"Which one of the following exhibits polymorphism?","Sycon","Obelia","Pheretima","Ascaris","B","biology","Animal Kingdom","medium","Obelia exhibits polymorphism with different zooids performing specialized functions."
"Statement I: Platyhelminthes are mostly endoparasites.
Statement II: Hooks and suckers are adaptations for parasitic life.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","medium","Parasitic flatworms possess hooks and suckers for attachment to the host."
"Assertion (A): Flame cells are the excretory structures of Platyhelminthes.
Reason (R): Flame cells help in osmoregulation and excretion.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","easy","Flame cells function in excretion and maintaining osmotic balance."
"Identify the incorrect statement regarding Aschelminthes.","They are triploblastic animals.","They possess a pseudocoelom.","They possess a complete digestive system.","They exhibit metameric segmentation.","D","biology","Animal Kingdom","medium","Metameric segmentation is absent in Aschelminthes and first appears in Annelida."
"How many of the following statements are correct?

1. Roundworms may be free-living or parasitic.
2. Fertilization in Ascaris is internal.
3. Sexes are separate in Ascaris.
4. Ascaris exhibits radial symmetry.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 3 are correct. Ascaris exhibits bilateral symmetry."
"Which of the following is correctly matched?","Taenia - Aschelminthes","Wuchereria - Platyhelminthes","Ancylostoma - Aschelminthes","Pheretima - Arthropoda","C","biology","Animal Kingdom","hard","Ancylostoma is a roundworm belonging to Aschelminthes."



"Statement I: Annelids exhibit metameric segmentation.
Statement II: Metameric segmentation is the serial repetition of body segments.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","easy","Annelids possess true metameric segmentation where body segments repeat serially."
"Assertion (A): Closed circulatory system is present in Annelida.
Reason (R): Blood flows through a well-developed network of blood vessels.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","medium","Annelids possess a closed circulatory system with blood confined to vessels."
"How many of the following statements are correct?

1. Nephridia are excretory organs in annelids.
2. Parapodia are present in Nereis.
3. Pheretima possesses parapodia.
4. Hirudinaria is an annelid.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 4 are correct. Pheretima lacks parapodia."
"Match the following:

List I
A. Nereis
B. Pheretima
C. Hirudinaria
D. Nephridia

List II
1. Excretory organ
2. Earthworm
3. Leech
4. Marine annelid

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A","biology","Animal Kingdom","medium","These are standard NCERT examples from phylum Annelida."
"Which one of the following is a characteristic feature of Arthropoda?","Water vascular system","Jointed appendages","Flame cells","Choanocytes","B","biology","Animal Kingdom","easy","Jointed appendages are the defining feature of arthropods."
"Statement I: Arthropods possess an open circulatory system.
Statement II: Their body cavity is called haemocoel.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","medium","Arthropods have an open circulatory system where blood flows through haemocoel."
"Assertion (A): Arthropoda is the largest phylum in Animal Kingdom.
Reason (R): Arthropods occupy almost all habitats and show enormous diversity.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","medium","Adaptability and evolutionary success have made arthropods the largest phylum."
"Identify the incorrect statement regarding arthropods.","They possess jointed appendages.","They have an open circulatory system.","They possess a chitinous exoskeleton.","They possess a true coelom as the main body cavity.","D","biology","Animal Kingdom","hard","The true coelom is greatly reduced and the body cavity is a haemocoel."
"How many of the following statements are correct?

1. Prawn belongs to Arthropoda.
2. Scorpion belongs to Arthropoda.
3. Limulus belongs to Arthropoda.
4. Pila belongs to Arthropoda.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 3 are correct. Pila belongs to Mollusca."
"Which of the following pairs is correctly matched?","Prawn - Mollusca","Locusta - Arthropoda","Scorpion - Annelida","Periplaneta - Mollusca","B","biology","Animal Kingdom","easy","Locusta (locust) belongs to Arthropoda."




"Statement I: Annelids exhibit metameric segmentation.
Statement II: Metameric segmentation is the serial repetition of body segments.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","easy","Annelids possess true metameric segmentation where body segments repeat serially."
"Assertion (A): Closed circulatory system is present in Annelida.
Reason (R): Blood flows through a well-developed network of blood vessels.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","medium","Annelids possess a closed circulatory system with blood confined to vessels."
"How many of the following statements are correct?

1. Nephridia are excretory organs in annelids.
2. Parapodia are present in Nereis.
3. Pheretima possesses parapodia.
4. Hirudinaria is an annelid.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 4 are correct. Pheretima lacks parapodia."
"Match the following:

List I
A. Nereis
B. Pheretima
C. Hirudinaria
D. Nephridia

List II
1. Excretory organ
2. Earthworm
3. Leech
4. Marine annelid

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A","biology","Animal Kingdom","medium","These are standard NCERT examples from phylum Annelida."
"Which one of the following is a characteristic feature of Arthropoda?","Water vascular system","Jointed appendages","Flame cells","Choanocytes","B","biology","Animal Kingdom","easy","Jointed appendages are the defining feature of arthropods."
"Statement I: Arthropods possess an open circulatory system.
Statement II: Their body cavity is called haemocoel.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","medium","Arthropods have an open circulatory system where blood flows through haemocoel."
"Assertion (A): Arthropoda is the largest phylum in Animal Kingdom.
Reason (R): Arthropods occupy almost all habitats and show enormous diversity.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","medium","Adaptability and evolutionary success have made arthropods the largest phylum."
"Identify the incorrect statement regarding arthropods.","They possess jointed appendages.","They have an open circulatory system.","They possess a chitinous exoskeleton.","They possess a true coelom as the main body cavity.","D","biology","Animal Kingdom","hard","The true coelom is greatly reduced and the body cavity is a haemocoel."
"How many of the following statements are correct?

1. Prawn belongs to Arthropoda.
2. Scorpion belongs to Arthropoda.
3. Limulus belongs to Arthropoda.
4. Pila belongs to Arthropoda.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 3 are correct. Pila belongs to Mollusca."
"Which of the following pairs is correctly matched?","Prawn - Mollusca","Locusta - Arthropoda","Scorpion - Annelida","Periplaneta - Mollusca","B","biology","Animal Kingdom","easy","Locusta (locust) belongs to Arthropoda."





"Statement I: Molluscs possess a muscular foot.
Statement II: The muscular foot is mainly used for locomotion.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","easy","The muscular foot is a characteristic feature of molluscs and is mainly involved in locomotion."
"Assertion (A): Mollusca is the second largest phylum in Animal Kingdom.
Reason (R): Molluscs show enormous diversity in body form and habitat.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","medium","Mollusca is second only to Arthropoda in species diversity."
"How many of the following statements are correct?

1. Molluscs possess a mantle.
2. Mantle cavity contains feather-like gills.
3. Radula is absent in Pila.
4. Octopus belongs to Mollusca.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 4 are correct. Radula is present in Pila."
"Match the following:

List I
A. Pila
B. Sepia
C. Octopus
D. Aplysia

List II
1. Sea hare
2. Apple snail
3. Cuttlefish
4. Devil fish

Choose the correct option.","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-2, B-4, C-3, D-1","A-1, B-3, C-4, D-2","A","biology","Animal Kingdom","medium","These are standard examples of molluscs mentioned in NCERT."
"Which one of the following is a characteristic feature of echinoderms?","Jointed appendages","Water vascular system","Nephridia","Mantle cavity","B","biology","Animal Kingdom","easy","The water vascular system is unique to echinoderms."
"Statement I: Adult echinoderms are radially symmetrical.
Statement II: Echinoderm larvae are bilaterally symmetrical.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Animal Kingdom","medium","Both statements are true but larval symmetry does not explain adult symmetry."
"Assertion (A): Echinoderms are exclusively marine animals.
Reason (R): They possess a water vascular system with tube feet.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","B","biology","Animal Kingdom","hard","Both statements are correct but the water vascular system does not explain their marine habitat."
"Identify the incorrect statement regarding echinoderms.","They are triploblastic animals.","They possess calcareous endoskeleton.","They possess open circulatory system.","They exhibit organ-system level of organization.","C","biology","Animal Kingdom","hard","NCERT does not describe echinoderms as possessing an open circulatory system; instead they have a haemal system and water vascular system."
"How many of the following statements are correct?

1. Asterias belongs to Echinodermata.
2. Echinus belongs to Echinodermata.
3. Antedon belongs to Echinodermata.
4. Ophiura belongs to Mollusca.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 3 are correct. Ophiura is also an echinoderm."
"Which of the following pairs is correctly matched?","Asterias - Mollusca","Echinus - Echinodermata","Antedon - Arthropoda","Ophiura - Annelida","B","biology","Animal Kingdom","easy","Echinus (sea urchin) belongs to Echinodermata."




"Statement I: Hemichordates were earlier considered as chordates.
Statement II: Hemichordates possess a stomochord instead of a true notochord.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Animal Kingdom","medium","Hemichordates were previously grouped with chordates because of the presence of a stomochord."
"Assertion (A): All chordates possess a notochord at some stage of their life cycle.
Reason (R): In vertebrates, the notochord is replaced by the vertebral column during development.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","easy","Presence of a notochord is a defining feature of chordates."
"How many of the following statements regarding chordates are correct?

1. Chordates possess a dorsal hollow nerve cord.
2. Chordates possess pharyngeal gill slits at some stage.
3. Chordates possess a post-anal tail.
4. Chordates possess a ventral solid nerve cord.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 3 are correct. Chordates possess a dorsal hollow nerve cord."
"Match the following:

List I
A. Balanoglossus
B. Herdmania
C. Branchiostoma
D. Petromyzon

List II
1. Cephalochordata
2. Urochordata
3. Cyclostomata
4. Hemichordata

Choose the correct option.","A-4, B-2, C-1, D-3","A-2, B-4, C-1, D-3","A-4, B-1, C-2, D-3","A-3, B-2, C-1, D-4","A","biology","Animal Kingdom","hard","These are standard NCERT examples of the respective groups."
"Which one of the following is a jawless vertebrate?","Scoliodon","Labeo","Petromyzon","Trygon","C","biology","Animal Kingdom","easy","Petromyzon belongs to Cyclostomata and lacks jaws."
"Statement I: Chondrichthyes possess a cartilaginous endoskeleton.
Statement II: Their gill slits are not covered by an operculum.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Animal Kingdom","medium","Both are characteristics of cartilaginous fishes but are independent features."
"Assertion (A): Osteichthyes possess an operculum covering the gills.
Reason (R): Osteichthyes possess a bony endoskeleton.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","B","biology","Animal Kingdom","medium","The presence of an operculum is not a consequence of having a bony endoskeleton."
"Identify the incorrect statement regarding vertebrate classes.","Amphibians possess moist glandular skin.","Reptiles possess dry cornified skin.","Birds possess pneumatic bones.","Mammals possess nucleated erythrocytes.","D","biology","Animal Kingdom","medium","Mammalian red blood cells are non-nucleated."
"How many of the following statements are correct?

1. Crocodiles possess a four-chambered heart.
2. Birds possess a four-chambered heart.
3. Mammals possess a four-chambered heart.
4. Amphibians possess a four-chambered heart.

Choose the correct option.","1","2","3","4","C","biology","Animal Kingdom","hard","Statements 1, 2 and 3 are correct. Amphibians possess a three-chambered heart."
"Which of the following pairs is correctly matched?","Ornithorhynchus - Oviparous mammal","Macropus - Reptilia","Pteropus - Aves","Salamandra - Pisces","A","biology","Animal Kingdom","hard","Ornithorhynchus (platypus) is an egg-laying mammal belonging to Monotremata."
