question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Statement I: Bryophytes are called amphibians of the plant kingdom.
Statement II: They require water for fertilization.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","easy","Bryophytes live on land but require water for sexual reproduction."
"Assertion (A): The sporophyte in bryophytes remains attached to the gametophyte.
Reason (R): The sporophyte is partially or completely dependent on the gametophyte for nutrition.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","medium","Bryophyte sporophytes remain nutritionally dependent on the gametophyte."
"How many of the following statements regarding bryophytes are correct?

1. They lack vascular tissues.
2. They possess true roots.
3. They possess multicellular sex organs.
4. The gametophyte is the dominant phase.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 3 and 4 are correct. Bryophytes possess rhizoids instead of true roots."
"Match the following:

List I
A. Riccia
B. Marchantia
C. Funaria
D. Sphagnum

List II
1. Peat moss
2. Liverwort
3. Moss
4. Liverwort

Choose the correct option.","A-4, B-2, C-3, D-1","A-2, B-4, C-3, D-1","A-4, B-3, C-2, D-1","A-1, B-2, C-3, D-4","A","biology","Plant Kingdom","medium","Riccia and Marchantia are liverworts, Funaria is a moss and Sphagnum is peat moss."
"Which of the following bryophytes is economically important because of its water-holding capacity?","Funaria","Riccia","Marchantia","Sphagnum","D","biology","Plant Kingdom","easy","Sphagnum can absorb several times its weight in water."
"Statement I: Mosses possess a more developed sporophyte than liverworts.
Statement II: Moss sporophytes differentiate into foot, seta and capsule.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","medium","Differentiation into foot, seta and capsule makes the moss sporophyte more advanced."
"Assertion (A): Protonema is an important stage in the life cycle of mosses.
Reason (R): It develops directly from the germinating spore.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","hard","The protonema stage develops from the spore and later gives rise to the leafy gametophore."
"Identify the incorrect statement regarding bryophytes.","They possess multicellular jacketed sex organs.","Antherozoids are flagellated.","Fertilization occurs without water.","Embryo formation occurs after fertilization.","C","biology","Plant Kingdom","medium","Water is essential for the movement of antherozoids to the archegonium."
"How many of the following statements are correct?

1. Riccia is a liverwort.
2. Marchantia is a liverwort.
3. Funaria is a moss.
4. Polytrichum is a liverwort.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 3 are correct. Polytrichum is a moss."
"Which of the following is correctly matched?","Marchantia - Moss","Funaria - Moss","Riccia - Hornwort","Sphagnum - Liverwort","B","biology","Plant Kingdom","easy","Funaria is a true moss."





"Statement I: Pteridophytes are the first terrestrial plants to possess vascular tissues.
Statement II: They possess well-developed xylem and phloem.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","easy","Pteridophytes are called vascular cryptogams because they possess conducting tissues but reproduce through spores."
"Assertion (A): Pteridophytes are called vascular cryptogams.
Reason (R): They possess vascular tissues but do not produce seeds.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","easy","The term vascular cryptogam refers to plants with vascular tissues but hidden reproductive structures."
"How many of the following statements regarding pteridophytes are correct?

1. The dominant phase is the sporophyte.
2. The gametophyte is called prothallus.
3. Fertilization requires water.
4. Seeds are produced after fertilization.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 3 are correct. Pteridophytes reproduce by spores and do not produce seeds."
"Match the following:

List I
A. Selaginella
B. Salvinia
C. Equisetum
D. Pteris

List II
1. Horsetail
2. Heterosporous pteridophyte
3. Fern
4. Heterosporous pteridophyte

Choose the correct option.","A-2, B-4, C-1, D-3","A-4, B-2, C-1, D-3","A-2, B-1, C-4, D-3","A-3, B-4, C-1, D-2","A","biology","Plant Kingdom","medium","Selaginella and Salvinia are heterosporous while Equisetum and Pteris are homosporous."
"Which of the following is known as horsetail?","Pteris","Marsilea","Equisetum","Dryopteris","C","biology","Plant Kingdom","easy","Equisetum is commonly known as horsetail."
"Statement I: Heterospory is considered an important step in the evolution of seed habit.
Statement II: Heterosporous plants produce microspores and megaspores.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","medium","Production of two types of spores paved the way for seed evolution."
"Assertion (A): Selaginella is considered an important evolutionary link in seed evolution.
Reason (R): It exhibits heterospory and retention of megaspore within the megasporangium.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","hard","Retention of the megaspore within the megasporangium is a major evolutionary advancement."
"Identify the incorrect statement regarding pteridophytes.","They possess vascular tissues.","The sporophyte is independent.","The gametophyte is dependent on the sporophyte.","The dominant phase is the sporophyte.","C","biology","Plant Kingdom","medium","The pteridophyte gametophyte is generally independent and photosynthetic."
"How many of the following statements are correct?

1. Selaginella is heterosporous.
2. Salvinia is heterosporous.
3. Pteris is homosporous.
4. Equisetum is heterosporous.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 3 are correct. Equisetum is homosporous."
"Which of the following is correctly matched?","Pteris - Heterosporous","Selaginella - Heterosporous","Equisetum - Seed plant","Salvinia - Gymnosperm","B","biology","Plant Kingdom","easy","Selaginella is one of the classic examples of heterospory in pteridophytes."





"Statement I: Gymnosperms are naked seeded plants.
Statement II: Their ovules are not enclosed within an ovary.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","easy","Gymnosperm ovules are exposed and therefore seeds remain naked."
"Assertion (A): Gymnosperms are heterosporous plants.
Reason (R): They produce microspores and megaspores in separate sporangia.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","medium","Gymnosperms produce microspores in microsporangia and megaspores in megasporangia."
"How many of the following statements regarding gymnosperms are correct?

1. The dominant phase is the sporophyte.
2. Gametophytes are highly reduced.
3. Male and female gametophytes develop independently in soil.
4. Seeds are not enclosed in fruits.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 4 are correct. Gametophytes develop within sporophytic tissues."
"Match the following:

List I
A. Cycas
B. Pinus
C. Gnetum
D. Coralloid roots

List II
1. Nitrogen-fixing cyanobacteria
2. Needle-shaped leaves
3. Motile male gametes
4. Vessel elements present

Choose the correct option.","A-3, B-2, C-4, D-1","A-2, B-3, C-4, D-1","A-3, B-4, C-2, D-1","A-4, B-2, C-3, D-1","A","biology","Plant Kingdom","hard","Cycas has motile sperms, Pinus has needle leaves, Gnetum has vessel elements and coralloid roots contain cyanobacteria."
"Which of the following gymnosperms possesses motile male gametes?","Pinus","Cedrus","Cycas","Gnetum","C","biology","Plant Kingdom","medium","Cycas and Ginkgo possess multiciliated motile sperms."
"Statement I: Pinus leaves are needle-shaped.
Statement II: Needle-shaped leaves help reduce transpiration.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","easy","Needle leaves are xerophytic adaptations reducing water loss."
"Assertion (A): Coralloid roots occur in Cycas.
Reason (R): They contain nitrogen-fixing cyanobacteria.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","medium","Coralloid roots of Cycas contain Nostoc and Anabaena."
"Identify the incorrect statement regarding gymnosperms.","They are seed-bearing plants.","Their ovules are exposed.","Double fertilization occurs.","They are heterosporous.","C","biology","Plant Kingdom","medium","Double fertilization is a characteristic feature of angiosperms, not gymnosperms."
"How many of the following statements are correct?

1. Cycas is dioecious.
2. Pinus is monoecious.
3. Gnetum possesses vessel elements.
4. Pinus possesses motile male gametes.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 3 are correct. Pinus has non-motile male gametes."
"Which of the following is correctly matched?","Cycas - Monoecious","Pinus - Motile sperms","Gnetum - Vessel elements","Cedrus - Coralloid roots","C","biology","Plant Kingdom","medium","Gnetum is exceptional among gymnosperms in possessing vessel elements."





"Statement I: In a haplontic life cycle, the dominant plant body is haploid.
Statement II: The zygote is the only diploid stage in such life cycles.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","easy","In haplontic life cycles the diploid phase is represented only by the zygote."
"Assertion (A): Spirogyra exhibits a haplontic life cycle.
Reason (R): The zygote undergoes meiosis to produce haploid cells.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","medium","The diploid zygote undergoes meiosis immediately after formation."
"How many of the following organisms exhibit a diplontic life cycle?

1. Fucus
2. Sargassum
3. Pinus
4. Funaria

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Fucus, Sargassum and Pinus are diplontic, whereas Funaria exhibits alternation of generations."
"Match the following:

List I
A. Spirogyra
B. Fucus
C. Funaria
D. Pinus

List II
1. Haplontic
2. Diplontic
3. Haplo-diplontic
4. Diplontic

Choose the correct option.","A-1, B-2, C-3, D-4","A-2, B-1, C-3, D-4","A-1, B-3, C-2, D-4","A-4, B-2, C-3, D-1","A","biology","Plant Kingdom","medium","Spirogyra is haplontic, Fucus and Pinus are diplontic, while Funaria is haplo-diplontic."
"Which of the following exhibits a haplo-diplontic life cycle?","Pinus","Fucus","Funaria","Cycas","C","biology","Plant Kingdom","easy","Bryophytes and pteridophytes generally exhibit haplo-diplontic life cycles."
"Statement I: Bryophytes exhibit alternation of generations.
Statement II: Both gametophyte and sporophyte phases are multicellular.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Plant Kingdom","medium","Alternation of generations involves multicellular haploid and diploid phases."
"Assertion (A): The sporophyte is dominant in gymnosperms.
Reason (R): The gametophyte is highly reduced and dependent on the sporophyte.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Plant Kingdom","medium","Reduction of gametophytes and dominance of sporophytes are major evolutionary trends."
"Identify the incorrect statement regarding plant life cycles.","Bryophytes possess dominant gametophytes.","Pteridophytes possess dominant sporophytes.","Gymnosperms possess dominant gametophytes.","Algae may show different life cycle patterns.","C","biology","Plant Kingdom","medium","Gymnosperms possess dominant sporophytes and highly reduced gametophytes."
"How many of the following statements are correct?

1. Fucus exhibits a diplontic life cycle.
2. Spirogyra exhibits a haplontic life cycle.
3. Gymnosperms exhibit a diplontic life cycle.
4. Bryophytes possess dominant sporophytes.

Choose the correct option.","1","2","3","4","C","biology","Plant Kingdom","hard","Statements 1, 2 and 3 are correct. Bryophytes possess dominant gametophytes."
"Which of the following correctly represents the evolutionary trend in plants?","Dominant sporophyte to dominant gametophyte","Reduction of sporophyte generation","Increasing dependence of sporophyte on gametophyte","Progressive dominance and independence of sporophyte generation","D","biology","Plant Kingdom","hard","Plant evolution shows increasing sporophyte dominance and reduction of gametophytes."
