question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Statement I: A simple leaf bears a single undivided lamina.
Statement II: The incisions in a simple leaf do not touch the midrib.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Morphology of Flowering Plants","medium","In simple leaves the incisions, if present, do not reach the midrib."
"Which of the following is an example of a pinnately compound leaf?","Silk cotton","Neem","Palm","Banana","B","biology","Morphology of Flowering Plants","medium","Neem exhibits pinnately compound leaves where leaflets are arranged on a common axis."
"Match the following:

List I
A. Alternate phyllotaxy
B. Opposite phyllotaxy
C. Whorled phyllotaxy
D. Parallel venation

List II

1. Calotropis
2. Alstonia
3. China rose
4. Monocots

Choose the correct option.","A-3, B-1, C-2, D-4","A-1, B-3, C-2, D-4","A-2, B-1, C-3, D-4","A-3, B-2, C-1, D-4","A","biology","Morphology of Flowering Plants","medium","China rose shows alternate phyllotaxy, Calotropis opposite, Alstonia whorled and monocots show parallel venation."
"Assertion (A): Leaf tendrils are modifications of leaves.
Reason (R): They help weak plants climb by coiling around support.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Morphology of Flowering Plants","medium","Leaf tendrils are climbing adaptations formed from leaves or leaf parts."
"Which of the following plants possesses leaf spines?","Opuntia","Pea","Cactus","Agave","C","biology","Morphology of Flowering Plants","medium","In cactus, leaves are modified into spines to reduce water loss."
"How many of the following statements are correct?

1. Reticulate venation is generally found in dicots.
2. Parallel venation is characteristic of monocots.
3. Banana exhibits reticulate venation.
4. Grass exhibits parallel venation.

Choose the correct option.","1","2","3","4","C","biology","Morphology of Flowering Plants","hard","Statements 1, 2 and 4 are correct. Banana shows parallel venation."
"Statement I: The arrangement of flowers on the floral axis is called inflorescence.
Statement II: In racemose inflorescence the main axis continues to grow indefinitely.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Morphology of Flowering Plants","medium","Statement II describes racemose inflorescence but does not explain the definition of inflorescence."
"Which of the following plants reproduces vegetatively through offsets?","Mint","Pistia","Jasmine","Grass","B","biology","Morphology of Flowering Plants","medium","Offsets are short, thick runners found in aquatic plants such as Pistia and Eichhornia."




"Which type of inflorescence is characterized by indefinite growth of the main axis?","Cymose","Racemose","Solitary","Verticillaster","B","biology","Morphology of Flowering Plants","easy","In racemose inflorescence, the main axis continues to grow and flowers are borne laterally."
"In racemose inflorescence, younger flowers are present:","At the base","At the center","At the apex","Randomly distributed","C","biology","Morphology of Flowering Plants","easy","Racemose inflorescence shows acropetal succession where younger flowers are towards the apex."
"Statement I: In cymose inflorescence, the main axis terminates in a flower.
Statement II: Cymose inflorescence shows basipetal succession.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Morphology of Flowering Plants","medium","Both statements are correct but basipetal succession does not explain the termination of the main axis."
"Which of the following flowers can be divided into two equal halves by any vertical plane passing through the center?","Zygomorphic","Asymmetrical","Actinomorphic","Irregular","C","biology","Morphology of Flowering Plants","easy","Actinomorphic flowers exhibit radial symmetry."
"Match the following:

List I
A. Actinomorphic flower
B. Zygomorphic flower
C. Bisexual flower
D. Unisexual flower

List II

1. Papaya
2. Mustard
3. Pea
4. Hibiscus

Choose the correct option.","A-4, B-3, C-2, D-1","A-2, B-3, C-4, D-1","A-2, B-1, C-4, D-3","A-4, B-2, C-3, D-1","B","biology","Morphology of Flowering Plants","medium","Mustard is actinomorphic, pea is zygomorphic, Hibiscus is bisexual and Papaya is unisexual."
"Assertion (A): Pea flowers are zygomorphic.
Reason (R): They can be divided into two equal halves only in one particular vertical plane.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Morphology of Flowering Plants","medium","Zygomorphic flowers possess bilateral symmetry."
"Which of the following is an example of a unisexual flower?","Mustard","Hibiscus","Papaya","Brinjal","C","biology","Morphology of Flowering Plants","easy","Papaya bears unisexual flowers."
"How many of the following statements are correct?

1. Mustard flowers are bisexual.
2. Papaya flowers are unisexual.
3. Pea flowers are actinomorphic.
4. Datura flowers are actinomorphic.

Choose the correct option.","1","2","3","4","C","biology","Morphology of Flowering Plants","hard","Statements 1, 2 and 4 are correct. Pea flowers are zygomorphic."
"Statement I: Flowers possessing both androecium and gynoecium are called bisexual flowers.
Statement II: Hibiscus is an example of a bisexual flower.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Morphology of Flowering Plants","easy","Hibiscus is a standard example of a bisexual flower."
"Which of the following floral whorls is directly involved in reproduction?","Calyx and corolla","Calyx and androecium","Androecium and gynoecium","Corolla and gynoecium","C","biology","Morphology of Flowering Plants","easy","Androecium and gynoecium are the essential reproductive whorls of a flower."




"Which type of aestivation is found in Calotropis?","Twisted","Valvate","Vexillary","Imbricate","B","biology","Morphology of Flowering Plants","easy","In valvate aestivation, sepals or petals touch at margins without overlapping. Calotropis is the NCERT example."
"Which type of aestivation is characteristic of Fabaceae?","Valvate","Twisted","Vexillary","Imbricate","C","biology","Morphology of Flowering Plants","easy","Fabaceae exhibits vexillary aestivation with a standard, wings and keel arrangement."
"Statement I: In valvate aestivation, sepals or petals touch one another at the margins without overlapping.
Statement II: Calotropis exhibits valvate aestivation.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Morphology of Flowering Plants","medium","Calotropis is the standard NCERT example of valvate aestivation."
"Which of the following placentation types is found in pea?","Axile","Marginal","Parietal","Basal","B","biology","Morphology of Flowering Plants","easy","Marginal placentation is characteristic of pea and other members of Fabaceae."
"Match the following:

List I
A. Marginal placentation
B. Axile placentation
C. Parietal placentation
D. Free central placentation

List II

1. Mustard
2. Pea
3. Dianthus
4. China rose

Choose the correct option.","A-2, B-4, C-1, D-3","A-4, B-2, C-3, D-1","A-2, B-1, C-4, D-3","A-3, B-4, C-1, D-2","A","biology","Morphology of Flowering Plants","medium","Pea shows marginal, China rose axile, mustard parietal and Dianthus free central placentation."
"Assertion (A): Brinjal exhibits epipetalous stamens.
Reason (R): In epipetalous condition, stamens are attached to petals.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Morphology of Flowering Plants","medium","Brinjal and other Solanaceae members possess epipetalous stamens."
"Which of the following flowers possesses an inferior ovary?","Mustard","Brinjal","Guava","Pea","C","biology","Morphology of Flowering Plants","medium","Guava is an epigynous flower with an inferior ovary."
"How many of the following statements are correct?

1. Hypogynous flowers possess a superior ovary.
2. Epigynous flowers possess an inferior ovary.
3. Perigynous flowers possess a half inferior ovary.
4. Mustard is a hypogynous flower.

Choose the correct option.","1","2","3","4","D","biology","Morphology of Flowering Plants","hard","All four statements are correct according to NCERT morphology."
"Statement I: In hypogynous flowers, the gynoecium occupies the highest position.
Statement II: Mustard is an example of a hypogynous flower.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Morphology of Flowering Plants","medium","Mustard is hypogynous and possesses a superior ovary."
"Which floral formula symbol represents actinomorphic symmetry?","%","⚥","⊕","∞","C","biology","Morphology of Flowering Plants","medium","The symbol ⊕ represents actinomorphic symmetry in floral formulae."




"Which family is characterized by vexillary aestivation?","Solanaceae","Fabaceae","Liliaceae","Brassicaceae","B","biology","Morphology of Flowering Plants","easy","Vexillary aestivation is the characteristic feature of Fabaceae."
"Which family possesses epipetalous stamens?","Fabaceae","Liliaceae","Solanaceae","Poaceae","C","biology","Morphology of Flowering Plants","easy","In Solanaceae, stamens are attached to petals and are called epipetalous."
"Statement I: Fabaceae possesses a monocarpellary superior ovary.
Statement II: Marginal placentation is characteristic of Fabaceae.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Morphology of Flowering Plants","medium","Fabaceae possesses a monocarpellary superior ovary with marginal placentation."
"Which family possesses epiphyllous stamens?","Fabaceae","Solanaceae","Liliaceae","Brassicaceae","C","biology","Morphology of Flowering Plants","medium","Liliaceae possesses epiphyllous stamens attached to the tepals."
"Match the following:

List I
A. Fabaceae
B. Solanaceae
C. Liliaceae
D. Mustard

List II

1. Epiphyllous stamens
2. Vexillary aestivation
3. Epipetalous stamens
4. Hypogynous flower

Choose the correct option.","A-2, B-3, C-1, D-4","A-3, B-2, C-1, D-4","A-2, B-1, C-3, D-4","A-1, B-3, C-2, D-4","A","biology","Morphology of Flowering Plants","hard","Fabaceae shows vexillary aestivation, Solanaceae epipetalous stamens, Liliaceae epiphyllous stamens and mustard is hypogynous."
"Assertion (A): Solanaceae possesses a bicarpellary syncarpous gynoecium.
Reason (R): The ovary in Solanaceae is superior and bilocular.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","B","biology","Morphology of Flowering Plants","medium","Both statements are correct but superiority and bilocular nature do not explain syncarpy."
"Which family possesses trimerous flowers?","Fabaceae","Solanaceae","Liliaceae","Brassicaceae","C","biology","Morphology of Flowering Plants","easy","Liliaceae is a monocot family with trimerous flowers."
"How many of the following statements are correct?

1. Fabaceae generally possesses diadelphous stamens.
2. Solanaceae exhibits epipetalous stamens.
3. Liliaceae exhibits epiphyllous stamens.
4. Fabaceae possesses axile placentation.

Choose the correct option.","1","2","3","4","C","biology","Morphology of Flowering Plants","hard","Statements 1, 2 and 3 are correct. Fabaceae shows marginal placentation."
"Statement I: Liliaceae flowers are trimerous.
Statement II: Liliaceae belongs to monocotyledons.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","Morphology of Flowering Plants","medium","Monocots generally possess floral parts in multiples of three."
"Which family among the following possesses marginal placentation?","Fabaceae","Solanaceae","Liliaceae","Malvaceae","A","biology","Morphology of Flowering Plants","medium","Marginal placentation is a characteristic feature of Fabaceae."
