question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation
"Statement I: All living organisms grow by cell division.
Statement II: Non-living objects can also grow by accumulation of material on their surface.
Choose the correct option.","Both statements are true","Both statements are false","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","The Living World","medium","Living organisms grow internally by cell division while non-living objects may increase in size by external deposition."
"Assertion (A): Reproduction cannot be considered an all-inclusive defining characteristic of living organisms.
Reason (R): Some organisms such as mules and worker bees do not reproduce.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","Some living organisms are sterile and therefore reproduction alone cannot define life."
"How many of the following statements are correct?

1. Metabolism is a defining feature of all living organisms.
2. Cellular organization is present in all living organisms.
3. Growth is a defining property exclusive to living organisms.
4. Viruses exhibit metabolism outside host cells.

Choose the correct option.","1","2","3","4","B","biology","The Living World","hard","Statements 1 and 2 are correct. Growth is not exclusive to living organisms and viruses do not exhibit metabolism outside host cells."
"Statement I: Biological names are generally written in italics.
Statement II: The first word in a biological name denotes the genus.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","The Living World","easy","Scientific names are italicized and the first word represents the genus name."
"In the scientific name Mangifera indica, which statement is correct?","Mangifera represents species","indica represents genus","Mangifera represents genus","indica represents family","C","biology","The Living World","easy","The first word of a scientific name is the genus and starts with a capital letter."
"Match the following:

List I
A. Species
B. Genus
C. Family
D. Order

List II

1. Taxonomic category containing related genera
2. Basic unit of classification
3. Taxonomic category containing related families
4. Taxonomic category containing related species

Choose the correct option.","A-2, B-4, C-1, D-3","A-4, B-2, C-1, D-3","A-2, B-1, C-4, D-3","A-2, B-4, C-3, D-1","A","biology","The Living World","medium","Species is the basic unit, genus contains related species, family contains related genera and order contains related families."
"Assertion (A): Taxonomic categories form a hierarchy.
Reason (R): Species is the highest taxonomic category.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","C","biology","The Living World","medium","Taxonomic categories are hierarchical but species is the lowest taxonomic category."
"How many of the following statements are correct?

1. Homo sapiens is written in italics.
2. Generic name begins with a capital letter.
3. Specific epithet begins with a capital letter.
4. Scientific names are universally accepted.

Choose the correct option.","1","2","3","4","C","biology","The Living World","hard","Statements 1, 2 and 4 are correct. The specific epithet begins with a small letter."
"According to NCERT, living organisms are best described as:","Self-replicating and evolving systems only","Self-regulating systems only","Interactive systems capable of self-replication, evolution and self-regulation","Systems capable only of metabolism and growth","C","biology","The Living World","hard","NCERT defines living organisms as self-replicating, evolving and self-regulating interactive systems."



"Statement I: Herbarium is a storehouse of collected plant specimens that are dried, pressed and preserved on sheets.
Statement II: Herbarium sheets carry labels containing information about the specimen.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","The Living World","easy","Herbarium sheets contain scientific name, family, place and date of collection, collector's name and other details."
"Assertion (A): Museums are important taxonomic aids.
Reason (R): Museums preserve specimens in jars, containers and as mounted preparations for study.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","Museums preserve specimens for identification and taxonomic studies."
"How many of the following statements regarding herbarium are correct?

1. Plant specimens are dried and pressed.
2. Specimens are mounted on herbarium sheets.
3. Labels contain the collector's name.
4. Herbarium preserves living plants.

Choose the correct option.","1","2","3","4","C","biology","The Living World","medium","Statements 1, 2 and 3 are correct. Herbarium contains preserved specimens, not living plants."
"Match the following:

List I
A. Herbarium
B. Botanical Garden
C. Museum
D. Key

List II

1. Identification tool based on contrasting characters
2. Collection of preserved specimens
3. Collection of living plants
4. Collection of dried plant specimens

Choose the correct option.","A-4, B-3, C-2, D-1","A-2, B-3, C-4, D-1","A-4, B-2, C-3, D-1","A-1, B-3, C-2, D-4","A","biology","The Living World","hard","Herbarium contains dried specimens, botanical gardens maintain living plants, museums preserve specimens and keys aid identification."
"Statement I: Taxonomic keys are based on contrasting characters.
Statement II: Each statement in a key is called a couplet.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","The Living World","medium","A key works using contrasting statements called couplets, but a couplet itself does not explain the principle."
"Which taxonomic aid is most useful for identification of organisms?","Museum","Botanical garden","Key","Herbarium","C","biology","The Living World","easy","Keys are specifically designed for identification purposes."
"Assertion (A): Botanical gardens are important centres for plant taxonomy.
Reason (R): They maintain collections of identified living plants for study and reference.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","Botanical gardens help in identification, conservation and taxonomic studies."
"Identify the incorrect statement regarding taxonomic aids.","Museums may preserve specimens in jars containing preservatives.","Botanical gardens maintain living collections of plants.","Keys are based on molecular analysis only.","Herbaria preserve dried plant specimens.","C","biology","The Living World","medium","Taxonomic keys are based mainly on observable contrasting characters rather than molecular analysis alone."
"How many of the following statements are correct?

1. A couplet consists of two contrasting statements.
2. Botanical gardens preserve living plants.
3. Museums preserve only animal specimens.
4. Keys are taxonomic aids.

Choose the correct option.","1","2","3","4","C","biology","The Living World","hard","Statements 1, 2 and 4 are correct. Museums may preserve both plant and animal specimens."
"According to NCERT, the number of species identified and described worldwide is approximately:","0.5 million","1.2 million","5 million","12 million","B","biology","The Living World","hard","Approximately 1.2 million species have been identified and described globally."




"Statement I: Viruses are regarded as living when inside a host cell.
Statement II: Outside the host cell, viruses can crystallize.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","The Living World","medium","Viruses show living characteristics only inside host cells and can be crystallized outside them."
"Assertion (A): Metabolism is considered a defining feature of living organisms.
Reason (R): All living organisms continuously perform anabolic and catabolic reactions.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","Metabolism includes all chemical reactions occurring in living organisms."
"How many of the following statements are correct?

1. Viruses can reproduce independently outside host cells.
2. Viruses can be crystallized.
3. Metabolism occurs in all living organisms.
4. Cellular organization is absent in viruses.

Choose the correct option.","1","2","3","4","C","biology","The Living World","hard","Statements 2, 3 and 4 are correct."
"Match the following:

List I
A. Mule
B. Worker bee
C. Virus
D. Metabolism

List II

1. Defining property of life
2. Sterile organism
3. Reproduces only inside host cells
4. Sterile caste insect

Choose the correct option.","A-2, B-4, C-3, D-1","A-4, B-2, C-3, D-1","A-2, B-3, C-4, D-1","A-2, B-4, C-1, D-3","A","biology","The Living World","hard","Mules and worker bees are examples used in NCERT to explain why reproduction alone cannot define life."
"Statement I: Growth in living organisms occurs by cell division.
Statement II: Increase in size of mountains is an example of biological growth.
Choose the correct option.","Both statements are true","Both statements are false","Statement I is true but Statement II is false","Statement I is false but Statement II is true","C","biology","The Living World","easy","Mountains increase in size by external deposition, not by biological growth."
"Which of the following best distinguishes living organisms from non-living objects?","Increase in size","Movement","Consciousness","Presence of carbon","C","biology","The Living World","easy","NCERT identifies consciousness as the defining property of living organisms."
"Assertion (A): Growth cannot be considered a defining characteristic of living organisms.
Reason (R): Non-living objects may also increase in size through external accumulation.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","Growth is not exclusive to living organisms."
"Identify the incorrect statement regarding living organisms.","Living organisms are self-replicating.","Living organisms are evolving systems.","Living organisms are self-regulating systems.","All living organisms reproduce.","D","biology","The Living World","medium","Some organisms such as mules and worker bees are sterile."
"How many of the following statements are correct?

1. Viruses possess cellular organization.
2. Viruses are obligate parasites.
3. Viruses contain either DNA or RNA.
4. Viruses show metabolism outside host cells.

Choose the correct option.","1","2","3","4","B","biology","The Living World","hard","Statements 2 and 3 are correct. Viruses lack cellular organization and metabolism outside host cells."
"According to NCERT, living organisms are best described as:","Systems capable of movement only","Self-replicating, evolving and self-regulating interactive systems","Systems capable of growth only","Systems capable of reproduction only","B","biology","The Living World","hard","This is the exact NCERT description of living organisms."




"Statement I: Identification is the process of determining whether an organism is identical to or different from known organisms.
Statement II: Identification forms the basis of taxonomy.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","The Living World","medium","Identification is the first step in taxonomy and classification."
"Assertion (A): Classification helps in understanding the diversity of living organisms.
Reason (R): It groups organisms based on similarities and relationships.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","Classification organizes biodiversity and makes its study easier."
"How many of the following statements regarding taxonomy are correct?

1. Taxonomy includes characterization.
2. Taxonomy includes identification.
3. Taxonomy includes nomenclature.
4. Taxonomy includes classification.

Choose the correct option.","1","2","3","4","D","biology","The Living World","easy","Characterization, identification, nomenclature and classification are all parts of taxonomy."
"Match the following:

List I
A. Characterisation
B. Identification
C. Nomenclature
D. Classification

List II

1. Assigning scientific names
2. Arrangement into categories
3. Study of characteristics
4. Recognition of an organism

Choose the correct option.","A-3, B-4, C-1, D-2","A-4, B-3, C-1, D-2","A-3, B-1, C-4, D-2","A-2, B-4, C-1, D-3","A","biology","The Living World","hard","These are the major steps involved in taxonomy."
"Statement I: Classification is not a single-step process.
Statement II: Classification involves hierarchy of categories.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","biology","The Living World","medium","Organisms are classified through multiple hierarchical taxonomic categories."
"Which one of the following sequences represents the correct hierarchy from lower to higher taxonomic category?","Species → Genus → Family → Order → Class","Species → Family → Genus → Order → Class","Genus → Species → Family → Order → Class","Species → Order → Family → Genus → Class","A","biology","The Living World","easy","The order of hierarchy is Species → Genus → Family → Order → Class → Phylum/Division → Kingdom."
"Assertion (A): Members of lower taxonomic categories share more similarities than members of higher categories.
Reason (R): Species is the category with maximum number of shared characteristics.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","The Living World","medium","As we move from species to kingdom, similarities decrease."
"Identify the incorrect statement regarding taxonomic hierarchy.","Genus contains related species.","Family contains related genera.","Order contains related classes.","Class contains related orders.","C","biology","The Living World","medium","Order contains related families, not classes."
"How many of the following statements are correct?

1. Species is the lowest taxonomic category.
2. Kingdom is the highest category in the classical hierarchy.
3. Members of a genus are more closely related than members of a family.
4. Similarities increase as we move from species to kingdom.

Choose the correct option.","1","2","3","4","C","biology","The Living World","hard","Statements 1, 2 and 3 are correct. Similarities decrease from species to kingdom."
"According to NCERT, taxonomy and systematics contribute significantly to:","Agriculture only","Medicine only","Conservation and sustainable use of biodiversity","Forestry only","C","biology","The Living World","hard","Taxonomic studies are important in agriculture, forestry, industry and biodiversity conservation."
